,地点,时间,地点经纬度,longtitude,latitude,存栏,发病,死亡
119,吉林省公主岭市南崴子镇,2018.09.19,"43°27'43.9""N 124°44'39.4""E",124.7442778,43.46219444,484,56,56
120,内蒙古自治区科尔沁右翼中旗,2018.09.19,"45°03'57.7""N 121°27'17.8""E",121.4549444,45.06602778,138,23,22
121,锡林郭勒盟正蓝旗,2018.09.15,"42°48'01.8""N 116°00'24.9""E",116.0069167,42.8005,159,14,8
122,锡林郭勒盟阿巴嘎旗,2018.09.12,"44°15'43.0""N 114°40'39.1""E",114.6775278,44.26194444,-,16,16
123,新乡市获嘉县,2018.09.12,"35°11'39.6""N 113°38'57.7""E",113.6493611,35.19433333,-,148,64
124,安徽省铜陵市义安区,2018.09.10,"30°58'38.5""N 117°53'58.2""E",117.8995,30.97736111,219,63,23
125,黑龙江省佳木斯市向阳区,2018.09.06,"46°47'30.2""N 130°21'56.0""E",130.3655556,46.79172222,203,26,10
126,安徽省芜湖市南陵县许镇镇,2018.09.06,"31°04'20.9""N 118°23'49.6""E",118.3971111,31.07247222,30,13,4
127,宣城市宣州区天湖街道办事处,2018.09.06,"30°54'51.8""N 118°35'27.0""E",118.5908333,30.91438889,52,15,15
128,安徽省滁州市凤阳县,2018.09.06,"32°45'17.1""N 117°30'44.9""E",117.5124722,32.75475,886,62,22
129,黑龙江省佳木斯市郊区长青乡,2018.09.05,"46°48'57.2""N 130°17'31.1""E",130.2919722,46.81588889,87,39,12
130,江苏省无锡市宜兴市,2018.09.03,"31°19'22.6""N 119°52'18.6""E",119.8718333,31.32294444,97,12,9
131,安徽省宣城市宣州区金坝办事处,2018.09.03,"30°52'10.6""N 118°40'00.3""E",118.66675,30.86961111,308,152,83
132,安徽省宣城市宣州区古泉镇,2018.09.02,"31°02'00.2""N 118°39'43.0""E",118.6619444,31.03338889,285,-,40
133,安徽省宣城市宣州区五星乡,2018.09.02,"31°00'33.7""N 118°46'54.1""E",118.7816944,31.00936111,440,-,94
134,安徽省芜湖市南陵县,2018.08.29,"30°53'21.1""N 118°20'03.5""E",118.3343056,30.88919444,459,185,80
135,浙江省温州市乐清市,2018.08.17,"28°04'51.2""N 120°53'21.9""E",120.8894167,28.08088889,-,430,340
136,江苏省连云港市海州区,2018.08.15,"34°39'40.9""N 119°10'00.2""E",119.1667222,34.66136111,-,615,88
137,黑龙江省佳木斯市汤原县鹤立镇农贸市场,2019.08.14,"47°03'49.5""N 130°18'22.7""E",130.3063056,47.06375,260,30,30
138,辽宁省沈阳市沈北新区,2019.08.01,"42°02'21.1""N 123°30'32.6""E",123.5090556,42.03919444,383,47,47
